run_label,phase,model_id,model_key,family,benchmark,decoding_key,requested_n,temperature,early_stop,observed_best_of_n,mean_tokens_until_success_or_budget
humaneval5_n5_seed1234_earlystop,phase1,Qwen/Qwen2.5-Coder-1.5B-Instruct,,,humaneval,,5.0,0.8,True,0.8,188.4
humaneval5_n5_seed1234,phase1,Qwen/Qwen2.5-Coder-1.5B-Instruct,,,humaneval,,5.0,0.8,False,0.8,188.4
qwen05b_temp02_n1,phase2,Qwen/Qwen2.5-Coder-0.5B-Instruct,qwen2.5-coder-0.5b-instruct,,humaneval,,1.0,0.2,False,0.8,150.4
qwen05b_temp02_n5,phase2,Qwen/Qwen2.5-Coder-0.5B-Instruct,qwen2.5-coder-0.5b-instruct,,humaneval,,5.0,0.2,False,1.0,224.6
qwen05b_temp08_n1,phase2,Qwen/Qwen2.5-Coder-0.5B-Instruct,qwen2.5-coder-0.5b-instruct,,humaneval,,1.0,0.8,False,0.7,156.6
qwen05b_temp08_n5,phase2,Qwen/Qwen2.5-Coder-0.5B-Instruct,qwen2.5-coder-0.5b-instruct,,humaneval,,5.0,0.8,False,0.8,267.9
qwen15b_temp08_n5,phase2,Qwen/Qwen2.5-Coder-1.5B-Instruct,qwen2.5-coder-1.5b-instruct,,humaneval,,5.0,0.8,False,0.8333333333333334,134.3
stress_qwen15b_n5,phase2,Qwen/Qwen2.5-Coder-1.5B-Instruct,,,humaneval_stress,,5.0,0.8,False,1.0,154.33333333333334
layer12_correctness_direction_alpha0p0,phase4,Qwen/Qwen2.5-Coder-1.5B-Instruct,,,humaneval,,2.0,0.8,,0.7,112.65
layer12_correctness_direction_alpha0p5,phase4,Qwen/Qwen2.5-Coder-1.5B-Instruct,,,humaneval,,2.0,0.8,,0.7,112.55
layer12_correctness_direction_alpha1p0,phase4,Qwen/Qwen2.5-Coder-1.5B-Instruct,,,humaneval,,2.0,0.8,,0.7,110.95
layer12_negative_correctness_direction_alpha0p0,phase4,Qwen/Qwen2.5-Coder-1.5B-Instruct,,,humaneval,,2.0,0.8,,0.7,112.65
layer12_negative_correctness_direction_alpha0p5,phase4,Qwen/Qwen2.5-Coder-1.5B-Instruct,,,humaneval,,2.0,0.8,,0.7,112.5
layer12_negative_correctness_direction_alpha1p0,phase4,Qwen/Qwen2.5-Coder-1.5B-Instruct,,,humaneval,,2.0,0.8,,0.65,112.35
